#	LAMMPS	data	file	written	by	OVITO	Basic	3.6.0
1098	atoms							
6	atom	types						
0.0	22.0	xlo	xhi					
0.0	22.0	ylo	yhi					
0.0	22.0	zlo	zhi					
								
Masses								
								
1	1.0079	#	H					
2	15.9994	#	O					
3	26.9815	#	Al					
4	28.0855	#	Si					
5	39.0983	#	K					
6	40.0780	#	Ca					
								
Atoms	#	charge						
								
321	1	0	20.990	15.635	17.691			
322	1	0	18.524	17.688	19.314			
323	1	0	20.590	15.583	21.316			
324	1	0	22.001	18.438	19.611			
325	4	0	4.377	13.676	7.304			
326	2	0	3.618	12.577	6.374			
327	2	0	5.532	12.937	8.179			
328	2	0	5.046	14.817	6.356			
329	2	0	3.308	14.376	8.312			
330	1	0	3.395	11.762	6.847			
331	1	0	5.763	13.415	8.989			
332	1	0	5.511	14.453	5.588			
333	1	0	2.810	15.097	7.899			
334	4	0	8.488	7.229	12.879			
335	2	0	9.102	5.721	12.858			
336	2	0	7.402	7.386	11.678			
337	2	0	7.769	7.500	14.314			
338	2	0	9.683	8.313	12.664			
339	1	0	9.340	5.417	11.970			
340	1	0	7.275	8.303	11.394			
341	1	0	7.214	6.764	14.609			
342	1	0	10.163	8.517	13.480			
343	4	0	9.482	11.962	7.004			
344	2	0	8.221	12.970	7.212			
345	2	0	9.351	11.226	5.559			
346	2	0	10.869	12.812	7.068			
347	2	0	9.487	10.836	8.179			
348	1	0	7.372	12.578	6.964			
349	1	0	9.822	10.381	5.517			
350	1	0	10.838	13.634	6.559			
351	1	0	9.895	11.147	9.002			
352	4	0	20.516	18.516	1.456			
353	2	0	19.304	18.467	2.541			
354	2	0	20.700	17.044	0.786			
355	2	0	20.165	19.609	0.302			
356	2	0	21.902	18.943	2.195			
357	1	0	19.339	17.692	3.120			
358	1	0	21.588	16.894	0.431			
359	1	0	19.253	19.549	-0.017			
360	1	0	21.992	19.900	2.312			
361	4	0	18.819	12.718	8.969			
362	2	0	20.409	12.508	8.691			
363	2	0	18.386	11.874	10.291			
364	2	0	18.515	14.301	9.199			
365	2	0	17.961	12.188	7.692			
366	1	0	20.693	11.585	8.769			
367	1	0	17.445	11.648	10.309			
368	1	0	19.155	14.732	9.785			
369	1	0	17.903	12.838	6.976			
370	4	0	4.063	16.897	12.966			
371	2	0	5.644	16.702	13.296			
372	2	0	3.450	18.056	13.929			
373	2	0	3.885	17.324	11.405			
374	2	0	3.267	15.503	13.235			
375	1	0	5.837	16.670	14.244			
376	1	0	2.493	17.979	14.060			
377	1	0	4.510	18.006	11.121			
378	1	0	3.326	14.882	12.494			
379	4	0	1.353	11.020	9.069			
380	2	0	2.582	10.235	8.348			
381	2	0	1.697	12.609	9.143			
382	2	0	-0.012	10.790	8.211			
383	2	0	1.141	10.447	10.578			
384	1	0	3.453	10.509	8.671			
385	1	0	1.223	13.069	9.851			
386	1	0	0.114	10.892	7.257			
387	1	0	0.615	9.635	10.606			
388	4	0	2.022	16.212	4.285			
389	2	0	2.409	17.168	3.026			
390	2	0	3.352	15.424	4.794			
391	2	0	1.424	17.126	5.493			
392	2	0	0.899	15.126	3.828			
393	1	0	2.971	16.729	2.370			
394	1	0	3.153	14.601	5.262			
395	1	0	1.939	17.929	5.656			
396	1	0	-0.002	15.481	3.843			
397	4	0	7.294	6.809	1.564			
398	2	0	7.716	5.240	1.459			
399	2	0	6.796	7.333	0.107			
400	2	0	6.093	6.974	2.652			
401	2	0	8.575	7.693	2.041			
402	1	0	8.257	5.040	0.681			
403	1	0	6.882	8.291	-0.005			
404	1	0	5.398	6.307	2.558			
405	1	0	8.708	7.683	3.000			
406	4	0	20.766	12.071	20.980			
407	2	0	20.290	11.600	19.496			
408	2	0	21.383	13.574	20.896			
409	2	0	19.488	12.053	21.989			
410	2	0	21.907	11.055	21.541			
411	1	0	20.937	11.801	18.805			
412	1	0	22.000	13.775	21.615			
413	1	0	18.692	12.448	21.604			
414	1	0	21.539	10.250	21.935			
415	4	0	6.535	16.184	9.132			
416	2	0	5.038	16.777	9.374			
417	2	0	6.659	15.642	7.603			
418	2	0	7.631	17.360	9.393			
419	2	0	6.813	14.953	10.160			
420	1	0	4.339	16.208	9.023			
421	1	0	7.346	14.969	7.491			
422	1	0	7.390	18.205	8.987			
423	1	0	7.092	15.248	11.040			
424	4	0	8.428	20.794	15.650			
425	2	0	9.615	21.520	14.805			
426	2	0	7.984	21.751	16.889			
427	2	0	7.154	20.527	14.672			
428	2	0	8.961	19.372	16.237			
429	1	0	10.303	21.907	15.365			
430	1	0	7.577	21.265	17.620			
431	1	0	6.934	21.287	14.114			
432	1	0	8.916	18.652	15.591			
433	4	0	18.356	7.167	18.411			
434	2	0	17.895	5.713	17.843			
435	2	0	18.721	7.038	19.992			
436	2	0	19.659	7.684	17.583			
437	2	0	17.144	8.239	18.229			
438	1	0	17.278	5.251	18.429			
439	1	0	18.643	7.875	20.472			
440	1	0	20.329	6.996	17.456			
441	1	0	17.104	8.620	17.339			
442	4	0	14.860	3.492	1.271			
443	2	0	14.092	2.496	2.305			
444	2	0	15.877	2.625	0.342			
445	2	0	13.764	4.248	0.335			
446	2	0	15.711	4.601	2.104			
447	1	0	14.681	1.856	2.729			
448	1	0	16.607	3.150	-0.017			
449	1	0	13.079	3.656	-0.007			
450	1	0	15.173	5.351	2.399			
451	4	0	21.111	15.281	2.847			
452	2	0	21.902	14.447	4.000			
453	2	0	19.555	15.464	3.285			
454	2	0	21.808	16.740	2.661			
455	2	0	21.178	14.471	1.437			
456	1	0	21.413	13.674	4.317			
457	1	0	18.960	15.606	2.534			
458	1	0	22.010	17.178	3.501			
459	1	0	22.003	14.619	0.952			
460	4	0	18.243	9.754	5.827			
461	2	0	19.026	8.471	5.203			
462	2	0	17.081	10.232	4.793			
463	2	0	17.578	9.341	7.254			
464	2	0	19.290	10.980	6.057			
465	1	0	19.248	8.575	4.267			
466	1	0	16.833	11.162	4.899			
467	1	0	17.129	8.484	7.233			
468	1	0	19.788	10.904	6.884			
469	4	0	16.840	17.108	9.349			
470	2	0	17.033	16.801	7.762			
471	2	0	17.246	15.787	10.208			
472	2	0	17.790	18.359	9.776			
473	2	0	15.286	17.487	9.652			
474	1	0	16.677	15.941	7.493			
475	1	0	16.826	15.754	11.080			
476	1	0	18.687	18.299	9.416			
477	1	0	15.077	18.414	9.465			
478	4	0	4.797	7.646	6.572			
479	2	0	3.678	7.066	5.542			
480	2	0	6.168	7.965	5.756			
481	2	0	4.238	9.007	7.268			
482	2	0	5.107	6.542	7.727			
483	1	0	4.027	6.398	4.934			
484	1	0	6.958	7.954	6.316			
485	1	0	3.820	9.614	6.639			
486	1	0	4.462	6.554	8.449			
487	4	0	11.253	16.024	3.210			
488	2	0	12.507	16.282	4.214			
489	2	0	11.167	17.239	2.130			
490	2	0	11.463	14.609	2.433			
491	2	0	9.867	15.968	4.062			
492	1	0	12.561	17.194	4.533			
493	1	0	10.281	17.358	1.759			
494	1	0	12.364	14.486	2.099			
495	1	0	9.701	15.101	4.462			
496	4	0	9.195	15.506	13.725			
497	2	0	9.864	14.951	15.101			
498	2	0	9.451	17.109	13.608			
499	2	0	9.867	14.745	12.452			
500	2	0	7.593	15.221	13.736			
501	1	0	9.679	15.511	15.870			
502	1	0	8.803	17.560	13.049			
503	1	0	10.831	14.679	12.511			
504	1	0	7.365	14.320	13.462			
505	4	0	20.926	11.711	14.802			
506	2	0	22.005	12.308	13.740			
507	2	0	19.429	12.181	14.372			
508	2	0	21.015	10.085	14.807			
509	2	0	21.254	12.270	16.295			
510	1	0	21.853	13.239	13.522			
511	1	0	18.804	12.191	15.111			
512	1	0	21.060	9.702	13.918			
513	1	0	21.948	11.768	16.746			
514	4	0	1.125	18.756	8.326			
515	2	0	0.000	17.899	9.133			
516	2	0	2.418	17.811	8.038			
517	2	0	0.498	19.281	6.919			
518	2	0	1.587	20.036	9.219			
519	1	0	0.366	17.374	9.859			
520	1	0	3.236	18.312	7.908			
521	1	0	-0.001	18.600	6.445			
522	1	0	0.984	20.790	9.143			
523	4	0	2.205	4.799	17.210			
524	2	0	3.205	3.947	16.249			
525	2	0	3.034	6.010	17.913			
526	2	0	0.986	5.407	16.318			
527	2	0	1.592	3.829	18.365			
528	1	0	4.058	3.750	16.662			
529	1	0	2.635	6.315	18.741			
530	1	0	1.281	5.800	15.484			
531	1	0	0.831	3.311	18.063			
532	4	0	15.446	12.833	10.659			
533	2	0	16.506	13.518	9.631			
534	2	0	15.191	11.287	10.220			
535	2	0	16.047	12.888	12.171			
536	2	0	14.034	13.641	10.614			
537	1	0	16.320	13.322	8.701			
538	1	0	14.341	10.938	10.526			
539	1	0	16.980	12.633	12.221			
540	1	0	14.031	14.435	11.169			
541	4	0	11.417	7.099	15.351			
542	2	0	10.521	8.423	15.658			
543	2	0	10.469	5.942	14.710			
544	2	0	12.606	7.481	14.306			
545	2	0	12.075	6.546	16.733			
546	1	0	9.676	8.223	16.085			
547	1	0	10.815	5.048	14.842			
548	1	0	12.303	8.024	13.564			
549	1	0	12.885	7.014	16.983			
550	4	0	9.137	5.185	7.846			
551	2	0	10.629	5.498	8.415			
552	2	0	8.154	4.810	9.087			
553	2	0	8.569	6.497	7.067			
554	2	0	9.194	3.930	6.811			
555	1	0	10.932	4.854	9.072			
556	1	0	7.393	4.273	8.822			
557	1	0	8.724	7.324	7.548			
558	1	0	9.462	4.187	5.916			
559	4	0	12.843	2.830	9.599			
560	2	0	13.684	3.057	8.224			
561	2	0	12.632	4.260	10.346			
562	2	0	11.396	2.172	9.244			
563	2	0	13.661	1.827	10.586			
564	1	0	14.447	3.643	8.334			
565	1	0	12.484	4.175	11.299			
566	1	0	10.958	2.595	8.491			
567	1	0	13.529	0.891	10.371			
568	4	0	16.100	14.813	16.488			
569	2	0	16.574	16.035	17.453			
570	2	0	17.127	14.686	15.233			
571	2	0	16.092	13.424	17.339			
572	2	0	14.601	15.105	15.925			
573	1	0	16.816	16.836	16.966			
574	1	0	16.733	14.262	14.457			
575	1	0	16.880	13.308	17.889			
576	1	0	13.904	14.857	16.551			
577	4	0	12.559	17.720	14.559			
578	2	0	12.100	19.260	14.814			
579	2	0	14.121	17.546	14.979			
580	2	0	11.632	16.724	15.454			
581	2	0	12.384	17.345	12.985			
582	1	0	12.743	19.909	14.495			
583	1	0	14.557	16.806	14.532			
584	1	0	11.507	17.032	16.363			
585	1	0	11.477	17.095	12.752			
586	4	0	9.390	12.070	13.881			
587	2	0	10.907	12.650	13.981			
588	2	0	9.374	10.515	14.362			
589	2	0	8.409	12.954	14.834			
590	2	0	8.865	12.159	12.343			
591	1	0	11.573	12.045	13.624			
592	1	0	8.633	10.010	13.997			
593	1	0	8.785	13.133	15.708			
594	1	0	8.526	13.035	12.107			
595	4	0	10.106	20.004	5.933			
596	2	0	9.924	18.512	5.310			
597	2	0	10.497	21.043	4.743			
598	2	0	8.715	20.469	6.639			
599	2	0	11.295	19.995	7.046			
600	1	0	10.626	18.268	4.689			
601	1	0	10.967	21.827	5.059			
602	1	0	7.931	20.278	6.103			
603	1	0	11.000	19.687	7.915			
604	4	0	8.478	20.708	2.708			
605	2	0	9.151	21.086	1.275			
606	2	0	8.471	22.024	3.665			
607	2	0	6.953	20.190	2.469			
608	2	0	9.338	19.529	3.428			
609	1	0	9.963	21.606	1.359			
610	1	0	8.440	21.810	4.609			
611	1	0	6.455	20.741	1.848			
612	1	0	9.111	18.643	3.108			
613	4	0	14.834	6.828	11.683			
